FlightNumber,Date,Year,LaunchSite,Orbit,PayloadMass,Outcome,Class,GridFins,Reused,Legs,Block,Customer
1,2010-05-31,2010,CCAFS SLC 40,GTO,15502.0,True ASDS,0,True,True,False,3,US Govt
2,2010-07-02,2010,CCAFS SLC 40,SSO,2822.0,None None,0,True,False,False,5,US Govt
3,2010-12-02,2010,KSC LC 39A,VLEO,4696.0,False ASDS,0,True,False,True,2,Commercial
4,2010-04-05,2010,KSC LC 39A,MEO,613.0,True ASDS,1,True,True,True,5,Other
5,2010-01-08,2010,CCAFS SLC 40,VLEO,3014.0,True ASDS,1,True,False,False,5,Other
6,2010-12-26,2010,CCAFS SLC 40,GTO,9790.0,True ASDS,0,True,False,True,2,Commercial
7,2010-07-03,2010,CCAFS SLC 40,LEO,6147.0,True ASDS,0,True,False,True,4,US Govt
8,2010-10-08,2010,KSC LC 39A,ISS,2928.0,None None,0,False,True,False,5,NASA (CRS)
9,2010-07-14,2010,CCAFS SLC 40,GTO,5100.0,True ASDS,0,True,True,True,4,US Govt
10,2011-12-18,2011,CCAFS SLC 40,VLEO,1039.0,None None,0,True,False,True,2,NASA (CRS)
11,2011-07-14,2011,VAFB SLC 4E,VLEO,9423.0,True Ocean,0,True,True,True,4,Commercial
12,2011-06-04,2011,CCAFS SLC 40,ISS,4341.0,True ASDS,1,True,True,True,4,Other
13,2011-04-03,2011,KSC LC 39A,ISS,5937.0,True ASDS,0,True,True,True,5,Commercial
14,2011-06-09,2011,VAFB SLC 4E,ISS,9216.0,True Ocean,1,False,True,False,4,Commercial
15,2011-03-02,2011,CCAFS SLC 40,VLEO,1103.0,True Ocean,1,True,True,True,4,Commercial
16,2013-05-02,2013,CCAFS SLC 40,GTO,15171.0,True ASDS,0,True,True,True,2,NASA (CRS)
17,2011-02-20,2011,CCAFS SLC 40,VLEO,5650.0,True RTLS,1,True,True,True,4,US Govt
18,2012-10-03,2012,CCAFS SLC 40,LEO,1899.0,True ASDS,1,True,True,True,4,Commercial
